"","X","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"185",9,"Belarus",76.77919,76.73192,76.68474,76.64416,76.60006,76.56857,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe",100,"%"
"186",10,"Belarus",16.49,14.78,14.37,16.09,15.48,15.48,"Human health and welfare","human health","Concentrations of PM2.5","Europe",5,"µg/m3"
"187",11,"Belarus",98.83257,98.89652,98.96018,99.02351,99.08653,99.14926,"Human health and welfare","human health","Drinking water contamination","Europe",100,"% without E.coli"
"188",12,"Belarus",50,50,25,25,25,25,"Human health and welfare","landscape and amenity","status of world heritage sites","Europe",100,"% Good status"
"189",1,"Belgium",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Europe",100,"%"
"190",2,"Belgium",73.47,73.47,79.31,79.31,79.31,79.31,"Source","renewable ressources","Proportion of fish stocks not overexploited","Europe",100,"% Sus fish stock"
"191",3,"Belgium",49.07,51.51,53.96,51.29,51.58,51.58,"Source","renewable ressources","Surfacewater Stress","Europe",25,"% of stress"
"192",4,"Belgium",70,70,68.88889,70,67.77778,67.77778,"Source","renewable ressources","Groundwater stress","Europe",25,"%"
"193",5,"Belgium",0.36,0.36,0.36,0.36,0.36,0.36,"Source","non-renewables ressources","area with tolerable erosion","Europe",2,"Tonnes/hectare/year"
"194",6,"Belgium",11.9079555,11.7299028,11.5140375,11.5142385,11.3440351,10.4091252,"Sink","global System","CO2 emissions [tonnes per capita]","Europe",2.88,"tonnes per year per capita"
"195",7,"Belgium",-53.48,-37.31,-26.7,-40.28,-25,-28.45,"Sink","global System","Consumption of HCFC in ODP per capita","Europe",5.437,"0.5% compare to 2007 in CO2-eq tonnes"
"196",8,"Belgium",64.91323,64.75868,64.57851,64.3899,64.12792,63.81745,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe",100,"%"
"197",9,"Belgium",71.79,70.37,71.12,71.16,71.48,71.74,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe",100,"%"
"198",10,"Belgium",13.28,12.37,12.33,12.16,11.26,11.26,"Human health and welfare","human health","Concentrations of PM2.5","Europe",5,"µg/m3"
"199",11,"Belgium",99.71552,99.7651,99.81467,99.86424,99.91381,99.91381,"Human health and welfare","human health","Drinking water contamination","Europe",100,"% without E.coli"
"200",12,"Belgium",50,50,25,25,25,25,"Human health and welfare","landscape and amenity","status of world heritage sites","Europe",100,"% Good status"
"201",1,"Belize",84.03948,83.33643,82.63276,81.92971,81.22604,80.52236,"Source","renewable ressources","state of forest reccources","America",100,"%"
"202",2,"Belize",60.34,60.34,61.4,61.4,61.4,61.4,"Source","renewable ressources","Proportion of fish stocks not overexploited","America",100,"% Sus fish stock"
"203",3,"Belize",1.26,1.26,1.26,1.26,1.26,1.26,"Source","renewable ressources","Surfacewater Stress","America",25,"% of stress"
"204",4,"Belize",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","America",25,"%"
"205",5,"Belize",1.27,1.27,1.27,1.27,1.27,1.27,"Source","non-renewables ressources","area with tolerable erosion","America",2,"Tonnes/hectare/year"
"206",6,"Belize",4.3470213,4.3235739,3.9288268,3.6344348,3.4846472,3.2003687,"Sink","global System","CO2 emissions [tonnes per capita]","America",2.88,"tonnes per year per capita"
"207",7,"Belize",2.26,2.15,2.03,1.86,1.68,1.39,"Sink","global System","Consumption of HCFC in ODP per capita","America",0.005,"0.5% compare to 2007 in CO2-eq tonnes"
"208",8,"Belize",NA,NA,NA,NA,NA,60,"Sink","critical ecosystems","Proportion of surface water in good chemical status","America",100,"%"
"209",9,"Belize",NA,NA,NA,NA,NA,100,"Sink","critical ecosystems","Proportion of ground water in good chemical status","America",100,"%"
"210",10,"Belize",91.01332,90.89951,90.79919,90.6967,90.58564,90.45951,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America",100,"%"
"211",11,"Belize",74.14,73.93,73.85,73.9,73.79,73.63,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","America",100,"%"
"212",12,"Belize",11.1,11.1,11.36,10.9,10.51,10.51,"Human health and welfare","human health","Concentrations of PM2.5","America",5,"µg/m3"
"213",13,"Belize",25,25,25,25,25,25,"Human health and welfare","landscape and amenity","status of world heritage sites","America",100,"% Good status"
"214",1,"Benin",71.03974,69.99045,68.94117,67.89188,66.8426,65.79331,"Source","renewable ressources","state of forest reccources","Africa",100,"%"
"215",2,"Benin",57.14,57.14,57.14,57.14,57.14,57.14,"Source","renewable ressources","Proportion of fish stocks not overexploited","Africa",100,"% Sus fish stock"
"216",3,"Benin",0.98,0.98,0.98,0.98,0.98,0.98,"Source","renewable ressources","Surfacewater Stress","Africa",25,"% of stress"
"217",4,"Benin",2.222222,2.222222,2.222222,2.222222,2.222222,2.222222,"Source","renewable ressources","Groundwater stress","Africa",25,"%"
"218",5,"Benin",4.23,4.23,4.23,4.23,4.23,4.23,"Source","non-renewables ressources","area with tolerable erosion","Africa",2,"Tonnes/hectare/year"
"219",6,"Benin",1.3101248,1.4213141,1.4160128,1.5051447,1.4671638,1.4364222,"Sink","global System","CO2 emissions [tonnes per capita]","Africa",2.88,"tonnes per year per capita"
"220",7,"Benin",19.28,17.09,15.96,15.54,15.16,13.49,"Sink","global System","Consumption of HCFC in ODP per capita","Africa",0.1,"0.5% compare to 2007 in CO2-eq tonnes"
"221",8,"Benin",NA,NA,NA,NA,NA,100,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa",100,"%"
"222",9,"Benin",NA,NA,NA,NA,NA,88.9,"Sink","critical ecosystems","Proportion of ground water in good chemical status","Africa",100,"%"
"223",10,"Benin",86.77528,86.52524,86.30368,86.08652,85.87336,85.63256,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa",100,"%"
"224",11,"Benin",85.64,85.46,85.27,85.09,84.53,84.41,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa",100,"%"
"225",12,"Benin",33.11,32.73,32.66,32.34,31.51,31.51,"Human health and welfare","human health","Concentrations of PM2.5","Africa",5,"µg/m3"
"226",13,"Benin",25,25,50,50,50,25,"Human health and welfare","landscape and amenity","status of world heritage sites","Africa",100,"% Good status"
"227",1,"Bermuda",100,100,100,100,100,100,"Source","renewable ressources","state of forest reccources","America",100,"%"
"228",2,"Bermuda",73.91,73.91,56.25,56.25,56.25,56.25,"Source","renewable ressources","Proportion of fish stocks not overexploited","America",100,"% Sus fish stock"
"229",3,"Bermuda",14.4537123,17.6179955,13.3324917,14.8974226,14.7068612,12.2025063,"Sink","global System","CO2 emissions [tonnes per capita]","America",2.88,"tonnes per year per capita"
"230",4,"Bermuda",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America",100,"%"
"231",5,"Bermuda",79.87,79.82,79.67,79.52,79.37,79.22,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","America",100,"%"
"232",1,"Bhutan",107.8887,107.9674,108.0461,108.1248,108.2035,108.2821,"Source","renewable ressources","state of forest reccources","Asia",100,"%"
"233",2,"Bhutan",1.41,1.41,1.41,1.41,1.41,1.41,"Source","renewable ressources","Surfacewater Stress","Asia",25,"% of stress"
"234",3,"Bhutan",0,0,0,0,0,0,"Source","renewable ressources","Groundwater stress","Asia",25,"%"
"235",4,"Bhutan",8.36,8.36,8.36,8.36,8.36,8.36,"Source","non-renewables ressources","area with tolerable erosion","Asia",2,"Tonnes/hectare/year"
"236",5,"Bhutan",3.4258655,3.5780808,3.7130297,3.9072716,4.1620264,4.0022509,"Sink","global System","CO2 emissions [tonnes per capita]","Asia",2.88,"tonnes per year per capita"
"237",6,"Bhutan",0.2,0.14,0.11,0.08,0.06,0.04,"Sink","global System","Consumption of HCFC in ODP per capita","Asia",5e-04,"0.5% compare to 2007 in CO2-eq tonnes"
"238",7,"Bhutan",83.60398,83.51253,83.43054,83.32142,83.2359,83.099,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia",100,"%"
"239",8,"Bhutan",29.04,27.63,26.49,28.73,26.1,26.1,"Human health and welfare","human health","Concentrations of PM2.5","Asia",5,"µg/m3"
"240",9,"Bhutan",35.55529,35.8917,36.16303,36.32678,36.48848,36.6477,"Human health and welfare","human health","Drinking water contamination","Asia",100,"% without E.coli"
"241",1,"Bolivia",90.42801,89.94743,89.49813,89.08273,88.70139,88.35377,"Source","renewable ressources","state of forest reccources","America",100,"%"
"242",2,"Bolivia",1.18,1.18,1.18,1.18,1.18,1.18,"Source","renewable ressources","Surfacewater Stress","America",25,"% of stress"
"243",3,"Bolivia",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","America",25,"%"
"244",4,"Bolivia",4.7,4.7,4.7,4.7,4.7,4.7,"Source","non-renewables ressources","area with tolerable erosion","America",2,"Tonnes/hectare/year"
"245",5,"Bolivia",5.0102391,5.0609706,5.0688595,5.0492839,4.8968694,5.0824714,"Sink","global System","CO2 emissions [tonnes per capita]","America",2.88,"tonnes per year per capita"
"246",6,"Bolivia",1.74,3.06,2.06,3.11,1.96,1.99,"Sink","global System","Consumption of HCFC in ODP per capita","America",0.02,"0.5% compare to 2007 in CO2-eq tonnes"
"247",7,"Bolivia",80.41572,80.30209,80.19652,80.06768,79.94983,79.81395,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America",100,"%"
"248",8,"Bolivia",26.5,26.4,24.17,24.63,25.23,25.23,"Human health and welfare","human health","Concentrations of PM2.5","America",5,"µg/m3"
"249",9,"Bolivia",50,50,50,50,50,50,"Human health and welfare","landscape and amenity","status of world heritage sites","America",100,"% Good status"
"250",1,"Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Europe",100,"%"
"251",2,"Bosnia and Herzegovina",37.84,37.84,37.5,37.5,37.5,37.5,"Source","renewable ressources","Proportion of fish stocks not overexploited","Europe",100,"% Sus fish stock"
"252",3,"Bosnia and Herzegovina",2.78,2.79,2.66,2.07,2.03,2,"Source","renewable ressources","Surfacewater Stress","Europe",25,"% of stress"
"253",4,"Bosnia and Herzegovina",2.679343,2.679343,2.506482,1.210026,1.210026,1.210026,"Source","renewable ressources","Groundwater stress","Europe",25,"%"
"254",5,"Bosnia and Herzegovina",5.02,5.02,5.02,5.02,5.02,5.02,"Source","non-renewables ressources","area with tolerable erosion","Europe",2,"Tonnes/hectare/year"
"255",6,"Bosnia and Herzegovina",7.6962286,8.6409097,8.9096963,9.1415244,8.7863753,8.8102737,"Sink","global System","CO2 emissions [tonnes per capita]","Europe",2.88,"tonnes per year per capita"
"256",7,"Bosnia and Herzegovina",2.11,2.34,2.37,2,1.54,1.35,"Sink","global System","Consumption of HCFC in ODP per capita","Europe",0.0275,"0.5% compare to 2007 in CO2-eq tonnes"
"257",8,"Bosnia and Herzegovina",52.45,52.45,52.45,52.45,52.45,64.2,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe",100,"%"
"258",9,"Bosnia and Herzegovina",16.7,16.7,16.7,16.7,16.7,94.7,"Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe",100,"%"
"259",10,"Bosnia and Herzegovina",69.59341,69.59347,69.5392,69.52765,69.49062,69.50393,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe",100,"%"
"260",11,"Bosnia and Herzegovina",86.47,86.2,85.93,85.66,85.39,85.12,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe",100,"%"
"261",12,"Bosnia and Herzegovina",30.74,29.71,31.4,32.02,26.19,26.19,"Human health and welfare","human health","Concentrations of PM2.5","Europe",5,"µg/m3"
"262",13,"Bosnia and Herzegovina",92.43958,92.04748,91.65536,91.26324,90.8711,90.47895,"Human health and welfare","human health","Drinking water contamination","Europe",100,"% without E.coli"
"263",1,"Botswana",84.80525,84.17213,83.53902,82.90591,82.27279,81.63968,"Source","renewable ressources","state of forest reccources","Africa",100,"%"
"264",2,"Botswana",1.96,2.1,2.02,2.13,2.11,2.31,"Source","renewable ressources","Surfacewater Stress","Africa",25,"% of stress"
"265",3,"Botswana",6.470588,6.470588,7.058824,7.058824,6.470588,8.235294,"Source","renewable ressources","Groundwater stress","Africa",25,"%"
"266",4,"Botswana",0.55,0.55,0.55,0.55,0.55,0.55,"Source","non-renewables ressources","area with tolerable erosion","Africa",2,"Tonnes/hectare/year"
"267",5,"Botswana",5.3710051,4.9537382,4.9072739,4.8225033,4.7149151,4.3200821,"Sink","global System","CO2 emissions [tonnes per capita]","Africa",2.88,"tonnes per year per capita"
"268",6,"Botswana",9.75,9.43,8.58,7.78,6.9,5.42,"Sink","global System","Consumption of HCFC in ODP per capita","Africa",0.0495,"0.5% compare to 2007 in CO2-eq tonnes"
"269",7,"Botswana",94.55,94.55,94.55,94.55,94.55,90,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa",100,"%"
"270",8,"Botswana",7.7,7.7,7.7,7.7,7.7,75,"Sink","critical ecosystems","Proportion of ground water in good chemical status","Africa",100,"%"
"271",9,"Botswana",82.55407,82.59888,82.62033,82.64474,82.70125,82.70912,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa",100,"%"
"272",10,"Botswana",12.89,12.69,13.11,12.95,12.82,12.82,"Human health and welfare","human health","Concentrations of PM2.5","Africa",5,"µg/m3"
"273",11,"Botswana",50,50,50,50,50,50,"Human health and welfare","landscape and amenity","status of world heritage sites","Africa",100,"% Good status"
"274",1,"Brazil",86.11696,85.80881,85.46871,85.2908,85.07682,84.87532,"Source","renewable ressources","state of forest reccources","America",100,"%"
"275",2,"Brazil",41.18,41.18,46.67,46.67,46.67,46.67,"Source","renewable ressources","Proportion of fish stocks not overexploited","America",100,"% Sus fish stock"
"276",3,"Brazil",3.02,3.14,3.11,1.46,1.48,1.48,"Source","renewable ressources","Surfacewater Stress","America",25,"% of stress"
"277",4,"Brazil",0.6923792,1.931537,1.623296,2.688971,1.5443,1.535006,"Source","renewable ressources","Groundwater stress","America",25,"%"
"278",5,"Brazil",4.32,4.32,4.32,4.32,4.32,4.32,"Source","non-renewables ressources","area with tolerable erosion","America",2,"Tonnes/hectare/year"
"279",6,"Brazil",6.4900588,6.3281251,6.3454985,6.1916936,6.1887665,6.0818143,"Sink","global System","CO2 emissions [tonnes per capita]","America",2.88,"tonnes per year per capita"
"280",7,"Brazil",1025.81,875.29,837.25,824.96,838.85,452.81,"Sink","global System","Consumption of HCFC in ODP per capita","America",5.757,"0.5% compare to 2007 in CO2-eq tonnes"
"281",8,"Brazil",52.55,52.55,52.55,52.55,52.55,61.45,"Sink","critical ecosystems","Proportion of surface water in good chemical status","America",100,"%"
"282",9,"Brazil",64.9,64.9,64.9,64.9,64.9,67.9,"Sink","critical ecosystems","Proportion of ground water in good chemical status","America",100,"%"
"283",10,"Brazil",76.11645,75.98087,75.85257,75.72814,75.5929,75.45297,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America",100,"%"
"284",11,"Brazil",77.21,74.91,74.1,73.57,73.45,73.33,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","America",100,"%"
"285",12,"Brazil",12.05,12,14.86,11.15,10.94,10.94,"Human health and welfare","human health","Concentrations of PM2.5","America",5,"µg/m3"
"286",13,"Brazil",81.9763,82.6904,83.52582,84.29474,85.06008,85.76567,"Human health and welfare","human health","Drinking water contamination","America",100,"% without E.coli"
"287",14,"Brazil",32.14286,32.14286,35.71429,35.71429,35.71429,34.375,"Human health and welfare","landscape and amenity","status of world heritage sites","America",100,"% Good status"
"288",1,"British Virgin Islands",97.67944,97.67944,97.67944,97.67944,97.67944,97.67944,"Source","renewable ressources","state of forest reccources","America",100,"%"
"289",2,"British Virgin Islands",60.34,60.34,61.4,61.4,61.4,61.4,"Source","renewable ressources","Proportion of fish stocks not overexploited","America",100,"% Sus fish stock"
"290",3,"British Virgin Islands",14.5041467,14.7158679,6.7689847,8.7822461,6.9295468,5.7282326,"Sink","global System","CO2 emissions [tonnes per capita]","America",2.88,"tonnes per year per capita"
"291",4,"British Virgin Islands",73.83,70.97,68.47,71.76,71.95,72.07,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","America",100,"%"
